Food,Calories,Protein (g),Carbs (g)
Old Fashioned Oatmeal,110,4,20
Raisins,135,1,32
Brown Sugar,55,0,14
Chocolate Chip Coffee Cake,190,2,30
Cranberry Orange Mini Muffin,0,0,0
Scrambled Eggs,185,16,0
Bacon,60,4,0
Hash Brown Potatoes,150,2,20
Tofu Scramble,185,11,8
Create Your Own Omelet Station,0,0,0
Tofu Scramble,185,11,8
Create Your Own Omelet Station,0,0,0
Banana Cake,275,3,42
Apricot Oatmeal Bar,355,4,55
Assorted Cookies,0,0,0
Cheese Pizza,250,15,33
Pepperoni Pizza,275,16,34
Vegan Roasted Vegetable Pizza,230,7,33
BBQ Chicken and Carmelized Onion Pizza,280,18,37
Scrambled Eggs,185,16,0
Bacon,60,4,0
O'Brien Potatoes,135,2,17
Tofu Scramble,185,11,8
Create Your Own Omelet Station,0,0,0
Chicken Noodle Soup,90,6,11
Queso Fresco,405,24,4
Crema,20,0,0
Sweet & Sour Pork,165,11,17
Brown Rice,110,2,23
Wild Rice Soup,425,21,72
Chana and Vegetable Tiki Masala,130,5,19
Chicken Noodle Soup,90,6,11
Tomato & Sweet Potato Soup,65,1,12
Hummus Brown Rice Wrap,205,5,30
Hummus with Veggie,120,4,11
Create Your Own Sandwich Station,0,0,0
Southwest Shrimp Salad,190,4,9
Vegan Chocolate Cookie,100,1,13
Cosmic Brownie,320,2,53
Assorted Cookies,0,0,0
Cheese Pizza,250,15,33
Pepperoni Pizza,275,16,34
Vegan Roasted Vegetable Pizza,230,7,33
BBQ Chicken and Carmelized Onion Pizza,280,18,37
Local Homestyle French Fries,315,3,30
Grill Works,0,0,0
Grilled Chicken Breast,195,39,0
Create Your Own Pasta Station,0,0,0
Chicken Noodle Soup,90,6,11
Cilantro Lime Brown Rice,150,3,31
Queso Fresco,405,24,4
Pinto Beans,0,0,0
Crema,20,0,0
Sesame Honey Salmon,120,16,0
Roasted Garlic Potatoes,85,2,17
Kale with Caramelized Onions,45,1,6
Wild Rice Soup,425,21,72
Spicy Vegetable Gumbo,45,2,8
Chicken Noodle Soup,90,6,11
Tomato & Sweet Potato Soup,65,1,12
Hummus Brown Rice Wrap,205,5,30
Hummus with Veggie,120,4,11
Southwest Shrimp Salad,190,4,9
